STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS,anomaly,NET_WORTH,soundex,uniqueness_score
Gujarat,CHHOTA UDAIPUR,RATHVA GITABEN VAJESINGBHAI,1.0,BJP,Lotus,FEMALE,0,47.0,ST,12th Pass,863466086.0,0.0,761472.0,2973.0,764445.0,45.74083038,61.89562408,1671253.0,1.0,863466086.0,R312,0.5
Gujarat,CHHOTA UDAIPUR,RATHAVA RANJITSINH MOHANSINH,0.0,INC,Hand,MALE,0,53.0,ST,Graduate,376953737.0,376953737.0,384059.0,2443.0,386502.0,23.12648055,31.29431483,1671253.0,1.0,0.0,R316,0.5
Gujarat,CHHOTA UDAIPUR,NOTA,0.0,NOTA,Lotus,MALE,0,49.8,GENERAL,Post Graduate,440429409.0,9647749.0,32816.0,52.0,32868.0,1.966668123,2.661258001,1671253.0,1.0,430781660.0,N300,0.004081632653061225
Gujarat,CHHOTA UDAIPUR,RATHVA FURKANBHAI BALAJIBHAI,0.0,BSP,Elephant,MALE,0,48.0,ST,Literate,8800008.0,5000005.0,14948.0,16.0,14964.0,0.895376104,1.211605961,1671253.0,1.0,3800003.0,R311,1.0
Tamil Nadu,CHIDAMBARAM,THIRUMAAVALAVAN THOL,1.0,VCK,Pot,MALE,3,56.0,SC,Doctorate,924409292.0,3942483.0,498401.0,1828.0,500229.0,33.79418763,43.33774887,1480222.0,1.0,920466809.0,T651,0.5
Tamil Nadu,CHIDAMBARAM,CHANDRASEKAR P,0.0,AIADMK,Two Leaves,MALE,0,46.0,SC,Post Graduate,587338058.0,587338058.0,495432.0,1578.0,497010.0,33.57672025,43.05886817,1480222.0,1.0,0.0,C536,0.0625
Tamil Nadu,CHIDAMBARAM,ELAVARASAN A,0.0,IND,Gift Pack,MALE,0,55.0,SC,Doctorate,580000058.0,580000058.0,62219.0,89.0,62308.0,4.209368595,5.398104582,1480222.0,1.0,0.0,E416,1.0
Tamil Nadu,CHIDAMBARAM,SIVAJOTHI M,0.0,NTK,Ganna Kisan,MALE,Not Available,35.0,SC,Not Available,440429409.0,9647749.0,37329.0,142.0,37471.0,2.531444608,3.246330756,1480222.0,1.0,430781660.0,S123,0.5
Tamil Nadu,CHIDAMBARAM,NOTA,0.0,NOTA,Lotus,MALE,0,48.6,GENERAL,Post Graduate,440429409.0,9647749.0,15479.0,56.0,15535.0,1.049504736,1.345887441,1480222.0,1.0,430781660.0,N300,0.004081632653061225
Tamil Nadu,CHIDAMBARAM,RAVI T,0.0,MNM,Battery Torch,MALE,0,49.0,SC,Others,286400028.0,5000005.0,15260.0,74.0,15334.0,1.035925692,1.328473641,1480222.0,1.0,281400023.0,R130,1.0
Karnataka,CHIKKBALLAPUR,B.N.Bache Gowda,1.0,BJP,Lotus,MALE,0,76.0,GENERAL,Graduate Professional,1153501141115.0,0.0,744475.0,1437.0,745912.0,41.23840379,53.74056097,1808780.0,1.0,1153501141115.0,B512,1.0
Karnataka,CHIKKBALLAPUR,M.Veerappa Moily,0.0,INC,Hand,MALE,0,79.0,GENERAL,Graduate Professional,23451588423.0,10431668310.0,563396.0,406.0,563802.0,31.17029158,40.62012108,1808780.0,1.0,13019920113.0,M161,1.0
Karnataka,CHIKKBALLAPUR,Dr. C.S.Dwarakanath,0.0,BSP,Elephant,MALE,0,65.0,GENERAL,Post Graduate,408443954.0,0.0,23418.0,28.0,23446.0,1.29623282,1.689208905,1808780.0,1.0,408443954.0,D622,0.06666666666666667
Karnataka,CHIKKBALLAPUR,S.Varalakshmi,0.0,CPI(M),"Hammer, Sickle and Star",FEMALE,3,48.0,GENERAL,12th Pass,9693109.0,0.0,18639.0,9.0,18648.0,1.030971152,1.343528434,1808780.0,1.0,9693109.0,S164,1.0
Karnataka,CHIKKODI,ANNASAHEB SHANKAR JOLLE,1.0,BJP,Lotus,MALE,0,55.0,GENERAL,12th Pass,34492283134.0,19559569319.0,641232.0,3785.0,645017.0,39.99966513,52.89266025,1612556.0,1.0,14932713815.0,A521,1.0
Karnataka,CHIKKODI,PRAKASH BABANNA HUKKERI,0.0,INC,Hand,MALE,0,72.0,GENERAL,10th Pass,19213855519.0,388100038.0,524871.0,1269.0,526140.0,32.62770409,43.14451288,1612556.0,1.0,18825755481.0,P622,0.16666666666666666
